"lat":1.31875,"lng":103.860677,"gym_name":"Central Sikh Temple"
"lat":1.309279,"lng":103.857957,"gym_name":"Aqueen Jalan Besar Hotel"
"lat":1.315999,"lng":103.849668,"gym_name":"Pink Pony"
"lat":1.311735,"lng":103.855652,"gym_name":"Gate to the New World (新世界）"
"lat":1.307908,"lng":103.856202,"gym_name":"Wall Art Mural Face of an Unknown"
"lat":1.309141,"lng":103.851593,"gym_name":"Foochow Methodist Church"
"lat":1.315323,"lng":103.852501,"gym_name":"Kentish Lodge Fountain"
"lat":1.31364,"lng":103.854823,"gym_name":"Farrer Park MRT Station"
"lat":1.313321,"lng":103.856395,"gym_name":"Sri Srinivasa Perumal Koil"
"lat":1.313773,"lng":103.869767,"gym_name":"Children Playground"
"lat":1.311534,"lng":103.871629,"gym_name":"Kallang MRT Station"
"lat":1.313064,"lng":103.934825,"gym_name":"Laguna Fountain"
"lat":1.311512,"lng":103.93701,"gym_name":"Bayshore Promenade Fountains"
"lat":1.311753,"lng":103.936205,"gym_name":"Frogs in the Well"
"lat":1.346202,"lng":103.899273,"gym_name":"Singapore Air Force Museum"
"lat":1.34371,"lng":103.898897,"gym_name":"Huge Tank like Structure"
"lat":1.33113,"lng":103.837025,"gym_name":"Singapore Polo Club"
"lat":1.330427,"lng":103.842655,"gym_name":"Low Pyramid Pavilion"
"lat":1.3302,"lng":103.843819,"gym_name":""
"lat":1.333329,"lng":103.839485,"gym_name":"Dancer in Motion"
"lat":1.332863,"lng":103.844213,"gym_name":"Giant Canopy"
"lat":1.337874,"lng":103.843389,"gym_name":""
"lat":1.337261,"lng":103.839408,"gym_name":"Caldecott Train Station"
"lat":1.345273,"lng":103.842976,"gym_name":"Sleeping Lion"
"lat":1.341926,"lng":103.840441,"gym_name":""
"lat":1.341988,"lng":103.837412,"gym_name":""
"lat":1.336868,"lng":103.836269,"gym_name":"Fading Jade Guardian"
"lat":1.337874,"lng":103.836695,"gym_name":"Rock Waterfall at Hawaii Landscape"
"lat":1.342562,"lng":103.856727,"gym_name":"Playground at Blk 220"
"lat":1.345101,"lng":103.857059,"gym_name":"Fitness Area"
"lat":1.341727,"lng":103.846836,"gym_name":"TPY Star Amphi Commemorative Plaque"
"lat":1.340806,"lng":103.850371,"gym_name":"New \"
"lat":1.340908,"lng":103.849776,"gym_name":"Toa Payoh Spring"
"lat":1.338497,"lng":103.845175,"gym_name":"Roundabout Canopy"
"lat":1.344933,"lng":103.854701,"gym_name":""
"lat":1.3444,"lng":103.854707,"gym_name":"Playground At Blk 148"
"lat":1.344996,"lng":103.855409,"gym_name":""
"lat":1.33076,"lng":103.847563,"gym_name":"Park Tower Toa Payoh"
"lat":1.332009,"lng":103.847535,"gym_name":""
"lat":1.345794,"lng":103.855988,"gym_name":"Bishan Cresta Entrance"
"lat":1.347183,"lng":103.85092,"gym_name":"Block 121 Playground"
"lat":1.345524,"lng":103.850849,"gym_name":"Bishan Summit Chess Table"
"lat":1.345407,"lng":103.852564,"gym_name":"Bishan Green"
"lat":1.349809,"lng":103.849007,"gym_name":"Bishan Public Library"
"lat":1.348733,"lng":103.849927,"gym_name":"Flight in Harmony Statue"
"lat":1.349911,"lng":103.850502,"gym_name":"Bishan Community Club"
"lat":1.349345,"lng":103.860717,"gym_name":""
"lat":1.34684,"lng":103.856662,"gym_name":"Kids Playground"
"lat":1.349905,"lng":103.838882,"gym_name":"Playground @ Block 307"
"lat":1.348772,"lng":103.838711,"gym_name":"3G Park at Shunfu Sign"
"lat":1.349098,"lng":103.838602,"gym_name":"Playground at Marymount Lane 1"
"lat":1.347791,"lng":103.840229,"gym_name":"Marymount Station"
"lat":1.34882,"lng":103.839055,"gym_name":"Marymount MRT"
"lat":1.321667,"lng":103.939024,"gym_name":"The Clock Tower of Oblivion"
"lat":1.321133,"lng":103.939738,"gym_name":""
"lat":1.33697,"lng":103.937904,"gym_name":"Sun Mural"
"lat":1.332532,"lng":103.937854,"gym_name":"Exercise Equipment at Bedok North"
"lat":1.333564,"lng":103.938263,"gym_name":"Circular Feature"
"lat":1.327394,"lng":103.940366,"gym_name":"Big Empty Pavilion"
"lat":1.342105,"lng":103.867735,"gym_name":"Public Utilities Board Recreation Club"
"lat":1.342245,"lng":103.880138,"gym_name":"Bartley MRT Station"
"lat":1.303526,"lng":103.854259,"gym_name":"Sim Lim Tower"
"lat":1.303078,"lng":103.855905,"gym_name":"Church of Our Lady of Lourdes"
"lat":1.303227,"lng":103.851887,"gym_name":"Fang's Field"
"lat":1.30554,"lng":103.849525,"gym_name":"Little India MRT Station"
"lat":1.307474,"lng":103.850411,"gym_name":"Goats Mural"
"lat":1.301695,"lng":103.850169,"gym_name":"David Elias Building"
"lat":1.301173,"lng":103.862828,"gym_name":"La Lecture II"
"lat":1.302224,"lng":103.85924,"gym_name":"Masjid Sultan"
"lat":1.303252,"lng":103.858494,"gym_name":"Girl Cuddling Cub Mural at Jln Pisang"
"lat":1.303263,"lng":103.865201,"gym_name":"Golden Mile Complex"
"lat":1.307237,"lng":103.862929,"gym_name":"Lavender MRT Station"
"lat":1.297911,"lng":103.905749,"gym_name":"Amber Beacon"
"lat":1.297345,"lng":103.902915,"gym_name":"Bridge of Safety"
"lat":1.30294,"lng":103.912272,"gym_name":"Marine Crescent Dolphin"
"lat":1.300136,"lng":103.900489,"gym_name":"CSC Recreation Complex"
"lat":1.306511,"lng":103.922137,"gym_name":"Exercise equipment and children playground"
"lat":1.306789,"lng":103.923734,"gym_name":"Mandarin Gardens Reflexology Walk"
"lat":1.343478,"lng":103.931434,"gym_name":"SIT Riverwalk"
"lat":1.344682,"lng":103.930657,"gym_name":"Inauguration Monument"
"lat":1.344141,"lng":103.932977,"gym_name":"Glasgow School of Arts"
"lat":1.34344,"lng":103.932066,"gym_name":"Face Mural"
"lat":1.339453,"lng":103.933989,"gym_name":"Sculpture at Bedok Reservoir"
